Azione;Orario;Minuto partita;tempo
Inizio partita;20:48;1;1
Tiro alto di Ibrahimovic;20:50;2;1
Palo di Calhanoglu ;20:57;9;1
Tiro di testa di Godin, fuori di poco;21:07;19;1
Tiro di Vecino, parata di Donnarumma;21:12;24;1
Gol di Ante Rebic;21:28;40;1
Cross di Theo Hernandez pericoloso, respinto in corner;21:33;45;1
Gol di Zlatan Ibrahimovic;21:34;46;1
Fine primo tempo;21:35;47;1
Inizio secondo tempo;21:52;1;2
Gol di Marcelo Brozovic;21:57;5;2
Gol di Matias Vecino;22:00;8;2
Tiro di Candreva, alto sopra la traversa;22:07;15;2
Punizione di Ibrahimovic, tiro largo;22:14;22;2
Gol di Stefan De Vrij;22:17;25;2
Tiro di Brozovic, parato da Donnarumma;22:25;33;2
Traversa di Eriksen su punizione;22:28;36;2
Azione di Barella con tiro bloccato da Donnarumma;22:36;44;2
Palo di Ibrahimovic;22:37;45;2
Gol di Romelu Lukaku;22:40;48;2
Fine secondo tempo;22:42;50;2
