;orarioTweet;numeroTweet
0;09/02/2020 20:30;2
1;09/02/2020 20:31;0
1;09/02/2020 20:32;1
;09/02/2020 20:33;0
2;09/02/2020 20:34;1
3;09/02/2020 20:35;6
4;09/02/2020 20:37;2
5;09/02/2020 20:38;2
;09/02/2020 20:39;0
;09/02/2020 20:40;0
;09/02/2020 20:41;0
;09/02/2020 20:42;0
6;09/02/2020 20:43;1
;09/02/2020 20:44;0
7;09/02/2020 20:45;2
8;09/02/2020 20:46;1
;09/02/2020 20:47;0
9;09/02/2020 20:48;1
;09/02/2020 20:49;0
10;09/02/2020 20:50;4
;09/02/2020 20:51;0
;09/02/2020 20:52;0
;09/02/2020 20:53;0
11;09/02/2020 20:54;3
12;09/02/2020 20:55;1
;09/02/2020 20:56;0
13;09/02/2020 20:57;1
;09/02/2020 20:58;0
14;09/02/2020 20:59;1
;09/02/2020 21:00;0
15;09/02/2020 21:01;1
;09/02/2020 21:02;0
16;09/02/2020 21:03;1
;09/02/2020 21:04;0
;09/02/2020 21:05;0
;09/02/2020 21:06;0
;09/02/2020 21:07;0
;09/02/2020 21:08;0
;09/02/2020 21:09;0
;09/02/2020 21:10;0
;09/02/2020 21:11;0
;09/02/2020 21:12;0
;09/02/2020 21:13;0
;09/02/2020 21:14;0
;09/02/2020 21:15;0
17;09/02/2020 21:16;1
;09/02/2020 21:17;0
;09/02/2020 21:18;0
18;09/02/2020 21:19;2
19;09/02/2020 21:20;1
;09/02/2020 21:21;0
;09/02/2020 21:22;0
;09/02/2020 21:23;0
;09/02/2020 21:24;0
;09/02/2020 21:25;0
;09/02/2020 21:26;0
20;09/02/2020 21:27;2
21;09/02/2020 21:28;6
22;09/02/2020 21:29;15
23;09/02/2020 21:30;12
24;09/02/2020 21:31;13
25;09/02/2020 21:32;7
26;09/02/2020 21:33;9
27;09/02/2020 21:34;15
28;09/02/2020 21:35;62
29;09/02/2020 21:36;52
30;09/02/2020 21:37;66
31;09/02/2020 21:38;48
32;09/02/2020 21:39;38
33;09/02/2020 21:40;40
34;09/02/2020 21:41;30
35;09/02/2020 21:42;40
36;09/02/2020 21:43;26
37;09/02/2020 21:44;25
38;09/02/2020 21:45;20
39;09/02/2020 21:46;20
40;09/02/2020 21:47;14
41;09/02/2020 21:48;9
42;09/02/2020 21:49;11
43;09/02/2020 21:50;10
44;09/02/2020 21:51;14
45;09/02/2020 21:52;8
46;09/02/2020 21:53;3
47;09/02/2020 21:54;2
48;09/02/2020 21:55;3
49;09/02/2020 21:56;4
50;09/02/2020 21:57;2
51;09/02/2020 21:58;1
52;09/02/2020 21:59;2
53;09/02/2020 22:00;3
;09/02/2020 22:01;0
54;09/02/2020 22:02;1
55;09/02/2020 22:03;1
56;09/02/2020 22:04;4
57;09/02/2020 22:05;2
58;09/02/2020 22:06;1
59;09/02/2020 22:07;2
60;09/02/2020 22:08;1
61;09/02/2020 22:09;1
62;09/02/2020 22:10;3
63;09/02/2020 22:11;3
;09/02/2020 22:12;0
;09/02/2020 22:13;0
64;09/02/2020 22:14;1
65;09/02/2020 22:15;3
66;09/02/2020 22:16;1
67;09/02/2020 22:17;1
68;09/02/2020 22:18;2
69;09/02/2020 22:19;0
70;09/02/2020 22:20;5
71;09/02/2020 22:21;2
72;09/02/2020 22:22;2
73;09/02/2020 22:23;2
74;09/02/2020 22:24;2
75;09/02/2020 22:25;1
76;09/02/2020 22:26;4
77;09/02/2020 22:27;3
78;09/02/2020 22:28;2
79;09/02/2020 22:29;2
;09/02/2020 22:30;0
;09/02/2020 22:31;0
;09/02/2020 22:32;0
;09/02/2020 22:33;0
;09/02/2020 22:34;0
;09/02/2020 22:35;0
80;09/02/2020 22:36;6
81;09/02/2020 22:37;1
82;09/02/2020 22:38;3
;09/02/2020 22:39;0
83;09/02/2020 22:40;3
84;09/02/2020 22:41;2
85;09/02/2020 22:42;15
86;09/02/2020 22:43;25
87;09/02/2020 22:44;10
88;09/02/2020 22:45;10
89;09/02/2020 22:46;14
90;09/02/2020 22:47;10
91;09/02/2020 22:48;7
92;09/02/2020 22:49;4
93;09/02/2020 22:50;5
94;09/02/2020 22:51;3
95;09/02/2020 22:52;3
96;09/02/2020 22:53;4
